Ticker,Wikidata Link
AAPL,https://www.wikidata.org/wiki/Q312
ABB,https://www.wikidata.org/wiki/Q52825
ABBV,https://www.wikidata.org/wiki/Q14662364
AEP,https://www.wikidata.org/wiki/Q464092
AGFS,https://www.wikidata.org/wiki/Q30270692
AMGN,https://www.wikidata.org/wiki/Q470517
AMZN,https://www.wikidata.org/wiki/Q3884
BA,https://www.wikidata.org/wiki/Q66
BABA,https://www.wikidata.org/wiki/Q1359568
BAC,https://www.wikidata.org/wiki/Q487907
BBL,https://www.wikidata.org/wiki/Q625713
BCH,https://www.wikidata.org/wiki/Q2882085
BHP,https://www.wikidata.org/wiki/Q625713
BP,https://www.wikidata.org/wiki/Q152057
BRK-A,https://www.wikidata.org/wiki/Q217583
BSAC,https://www.wikidata.org/wiki/Q1094313
BUD,https://www.wikidata.org/wiki/Q128738
C,https://www.wikidata.org/wiki/Q219508
CAT,https://www.wikidata.org/wiki/Q459965
CELG,https://www.wikidata.org/wiki/Q842947
CHL,https://www.wikidata.org/wiki/Q741618
CHTR,https://www.wikidata.org/wiki/Q2961234
CMCSA,https://www.wikidata.org/wiki/Q1113804
CODI,https://www.wikidata.org/wiki/Q22674043
CSCO,https://www.wikidata.org/wiki/Q173395
CVX,https://www.wikidata.org/wiki/Q319642
D,https://www.wikidata.org/wiki/Q677464
DHR,https://www.wikidata.org/wiki/Q1159256
DIS,https://www.wikidata.org/wiki/Q7414
DUK,https://www.wikidata.org/wiki/Q1264404
EXC,https://www.wikidata.org/wiki/Q1383669
FB,https://www.wikidata.org/wiki/Q380
GD,https://www.wikidata.org/wiki/Q502940
GE,https://www.wikidata.org/wiki/Q54173
GMRE,https://www.wikidata.org/wiki/Q19356963
GOOG,https://www.wikidata.org/wiki/Q95
HD,https://www.wikidata.org/wiki/Q864407
HON,https://www.wikidata.org/wiki/Q898208
HRG,https://www.wikidata.org/wiki/Q771865
HSBC,https://www.wikidata.org/wiki/Q190464
IEP,https://www.wikidata.org/wiki/Q5985017
INTC,https://www.wikidata.org/wiki/Q248
JNJ,https://www.wikidata.org/wiki/Q333718
JPM,https://www.wikidata.org/wiki/Q192314
KO,https://www.wikidata.org/wiki/Q3295867
LMT,https://www.wikidata.org/wiki/Q7240
MA,https://www.wikidata.org/wiki/Q489921
MCD,https://www.wikidata.org/wiki/Q38076
MDT,https://www.wikidata.org/wiki/Q642189
MMM,https://www.wikidata.org/wiki/Q159433
MO,https://www.wikidata.org/wiki/Q445007
MRK,https://www.wikidata.org/wiki/Q247489
MSFT,https://www.wikidata.org/wiki/Q2283
NEE,https://www.wikidata.org/wiki/Q967868
NGG,https://www.wikidata.org/wiki/Q1465461
NVS,https://www.wikidata.org/wiki/Q507154
ORCL,https://www.wikidata.org/wiki/Q19900
PCG,https://www.wikidata.org/wiki/Q1815011
PCLN,https://www.wikidata.org/wiki/Q18674747
PEP,https://www.wikidata.org/wiki/Q334800
PFE,https://www.wikidata.org/wiki/Q206921
PG,https://www.wikidata.org/wiki/Q212405
PICO,https://www.wikidata.org/wiki/Q7215569
PM,https://www.wikidata.org/wiki/Q1852556
PPL,https://www.wikidata.org/wiki/Q2044512
PTR,https://www.wikidata.org/wiki/Q503182
RDS-B,https://www.wikidata.org/wiki/Q154950
REX,https://www.wikidata.org/wiki/Q17143142
SLB,https://www.wikidata.org/wiki/Q1425316
SNP,https://www.wikidata.org/wiki/Q831445
SNY,https://www.wikidata.org/wiki/Q158205
SO,https://www.wikidata.org/wiki/Q2304693
SRE,https://www.wikidata.org/wiki/Q7449804
T,https://www.wikidata.org/wiki/Q35476
TM,https://www.wikidata.org/wiki/Q53268
TOT,https://www.wikidata.org/wiki/Q154037
TSM,https://www.wikidata.org/wiki/Q713418
UL,https://www.wikidata.org/wiki/Q157062
UN,https://www.wikidata.org/wiki/Q157062
UNH,https://www.wikidata.org/wiki/Q2103926
UPS,https://www.wikidata.org/wiki/Q155026
UTX,https://www.wikidata.org/wiki/Q1045758
V,https://www.wikidata.org/wiki/Q328840
VZ,https://www.wikidata.org/wiki/Q467752
WFC,https://www.wikidata.org/wiki/Q744149
WMT,https://www.wikidata.org/wiki/Q483551
XOM,https://www.wikidata.org/wiki/Q156238
